ticket_text,sentiment,topic
This is unacceptable: please add a dark‑mode option.,negative,feature
Appreciate the support on internet has been down since morning.,positive,service
This is unacceptable: error 500 while uploading a file.,negative,technical
Great job handling i can't update my profile details.,positive,account
Still waiting for a fix on my invoice is incorrect.,negative,billing
Appreciate the support on please update my billing address.,positive,billing
This is unacceptable: app crashes on start‑up.,negative,technical
I'm frustrated because my invoice is incorrect!,negative,billing
Great job handling password‑reset link not working.,positive,account
Appreciate the support on internet has been down since morning.,positive,service
Still waiting for a fix on need an export‑to‑csv feature.,negative,feature
This is unacceptable: internet has been down since morning.,negative,service
Still waiting for a fix on pages load very slowly.,negative,service
Appreciate the support on please update my billing address.,positive,billing
Still waiting for a fix on my invoice is incorrect.,negative,billing
This is unacceptable: my invoice is incorrect.,negative,billing
Still waiting for a fix on internet has been down since morning.,negative,service
Thanks for the quick resolution of internet has been down since morning.,positive,service
This is unacceptable: service unavailable in my area.,negative,service
Thanks for the quick resolution of please add a dark‑mode option.,positive,feature
I'm frustrated because cannot connect to server!,negative,technical
I'm frustrated because internet has been down since morning!,negative,service
Great job handling pages load very slowly.,positive,service
Appreciate the support on i can't update my profile details.,positive,account
Thanks for the quick resolution of need an export‑to‑csv feature.,positive,feature
I'm frustrated because cannot connect to server!,negative,technical
Appreciate the support on need an export‑to‑csv feature.,positive,feature
Still waiting for a fix on password‑reset link not working.,negative,account
This is unacceptable: need an export‑to‑csv feature.,negative,feature
I'm frustrated because my invoice is incorrect!,negative,billing
This is unacceptable: cannot connect to server.,negative,technical
Appreciate the support on error 500 while uploading a file.,positive,technical
Appreciate the support on need refund for over‑charge.,positive,billing
Thanks for the quick resolution of requesting integration with slack.,positive,feature
I'm frustrated because password‑reset link not working!,negative,account
I'm frustrated because i can't update my profile details!,negative,account
Appreciate the support on need refund for over‑charge.,positive,billing
Appreciate the support on my invoice is incorrect.,positive,billing
Thanks for the quick resolution of password‑reset link not working.,positive,account
Still waiting for a fix on cannot connect to server.,negative,technical
This is unacceptable: need an export‑to‑csv feature.,negative,feature
Appreciate the support on please add a dark‑mode option.,positive,feature
I'm frustrated because account locked after failed attempts!,negative,account
Appreciate the support on password‑reset link not working.,positive,account
This is unacceptable: please add a dark‑mode option.,negative,feature
This is unacceptable: error 500 while uploading a file.,negative,technical
I'm frustrated because account locked after failed attempts!,negative,account
Still waiting for a fix on please update my billing address.,negative,billing
I'm frustrated because my invoice is incorrect!,negative,billing
Appreciate the support on password‑reset link not working.,positive,account
I'm frustrated because service unavailable in my area!,negative,service
Still waiting for a fix on error 500 while uploading a file.,negative,technical
I'm frustrated because need an export‑to‑csv feature!,negative,feature
I'm frustrated because need refund for over‑charge!,negative,billing
Appreciate the support on password‑reset link not working.,positive,account
Great job handling need refund for over‑charge.,positive,billing
I'm frustrated because need an export‑to‑csv feature!,negative,feature
Thanks for the quick resolution of app crashes on start‑up.,positive,technical
Great job handling error 500 while uploading a file.,positive,technical
This is unacceptable: cannot connect to server.,negative,technical
Great job handling need refund for over‑charge.,positive,billing
Great job handling app crashes on start‑up.,positive,technical
Thanks for the quick resolution of i can't update my profile details.,positive,account
Great job handling app crashes on start‑up.,positive,technical
Great job handling i can't update my profile details.,positive,account
Appreciate the support on account locked after failed attempts.,positive,account
Thanks for the quick resolution of requesting integration with slack.,positive,feature
Great job handling password‑reset link not working.,positive,account
Great job handling my invoice is incorrect.,positive,billing
Appreciate the support on i can't update my profile details.,positive,account
Thanks for the quick resolution of need refund for over‑charge.,positive,billing
Thanks for the quick resolution of password‑reset link not working.,positive,account
Appreciate the support on need an export‑to‑csv feature.,positive,feature
This is unacceptable: cannot connect to server.,negative,technical
I'm frustrated because account locked after failed attempts!,negative,account
Still waiting for a fix on account locked after failed attempts.,negative,account
Appreciate the support on i can't update my profile details.,positive,account
Still waiting for a fix on app crashes on start‑up.,negative,technical
Great job handling error 500 while uploading a file.,positive,technical
I'm frustrated because please add a dark‑mode option!,negative,feature
Great job handling service unavailable in my area.,positive,service
I'm frustrated because pages load very slowly!,negative,service
Appreciate the support on requesting integration with slack.,positive,feature
This is unacceptable: error 500 while uploading a file.,negative,technical
I'm frustrated because requesting integration with slack!,negative,feature
Thanks for the quick resolution of password‑reset link not working.,positive,account
Still waiting for a fix on my invoice is incorrect.,negative,billing
This is unacceptable: please add a dark‑mode option.,negative,feature
Great job handling please add a dark‑mode option.,positive,feature
This is unacceptable: pages load very slowly.,negative,service
Thanks for the quick resolution of my invoice is incorrect.,positive,billing
Thanks for the quick resolution of error 500 while uploading a file.,positive,technical
Thanks for the quick resolution of please add a dark‑mode option.,positive,feature
Appreciate the support on internet has been down since morning.,positive,service
Great job handling need an export‑to‑csv feature.,positive,feature
Great job handling need an export‑to‑csv feature.,positive,feature
Appreciate the support on requesting integration with slack.,positive,feature
I'm frustrated because pages load very slowly!,negative,service
I'm frustrated because account locked after failed attempts!,negative,account
Still waiting for a fix on i can't update my profile details.,negative,account
This is unacceptable: cannot connect to server.,negative,technical
Still waiting for a fix on my invoice is incorrect.,negative,billing
Still waiting for a fix on error 500 while uploading a file.,negative,technical
Great job handling pages load very slowly.,positive,service
Great job handling my invoice is incorrect.,positive,billing
This is unacceptable: need an export‑to‑csv feature.,negative,feature
Still waiting for a fix on pages load very slowly.,negative,service
Great job handling i can't update my profile details.,positive,account
Appreciate the support on need an export‑to‑csv feature.,positive,feature
Still waiting for a fix on cannot connect to server.,negative,technical
This is unacceptable: internet has been down since morning.,negative,service
Still waiting for a fix on service unavailable in my area.,negative,service
Great job handling error 500 while uploading a file.,positive,technical
Thanks for the quick resolution of need an export‑to‑csv feature.,positive,feature
Thanks for the quick resolution of internet has been down since morning.,positive,service
I'm frustrated because need refund for over‑charge!,negative,billing
Still waiting for a fix on pages load very slowly.,negative,service
I'm frustrated because i can't update my profile details!,negative,account
Thanks for the quick resolution of internet has been down since morning.,positive,service
Appreciate the support on password‑reset link not working.,positive,account
Thanks for the quick resolution of my invoice is incorrect.,positive,billing
I'm frustrated because please update my billing address!,negative,billing
I'm frustrated because service unavailable in my area!,negative,service
Still waiting for a fix on service unavailable in my area.,negative,service
Appreciate the support on error 500 while uploading a file.,positive,technical
Thanks for the quick resolution of my invoice is incorrect.,positive,billing
Appreciate the support on please add a dark‑mode option.,positive,feature
Thanks for the quick resolution of pages load very slowly.,positive,service
Appreciate the support on please update my billing address.,positive,billing
Great job handling app crashes on start‑up.,positive,technical
Appreciate the support on please add a dark‑mode option.,positive,feature
Appreciate the support on need refund for over‑charge.,positive,billing
Great job handling password‑reset link not working.,positive,account
Thanks for the quick resolution of need refund for over‑charge.,positive,billing
Great job handling pages load very slowly.,positive,service
This is unacceptable: cannot connect to server.,negative,technical
Appreciate the support on account locked after failed attempts.,positive,account
This is unacceptable: pages load very slowly.,negative,service
I'm frustrated because requesting integration with slack!,negative,feature
Thanks for the quick resolution of need refund for over‑charge.,positive,billing
Great job handling service unavailable in my area.,positive,service
Still waiting for a fix on password‑reset link not working.,negative,account
Still waiting for a fix on cannot connect to server.,negative,technical
Appreciate the support on i can't update my profile details.,positive,account
I'm frustrated because account locked after failed attempts!,negative,account
Great job handling my invoice is incorrect.,positive,billing
Appreciate the support on please add a dark‑mode option.,positive,feature
Thanks for the quick resolution of pages load very slowly.,positive,service
I'm frustrated because password‑reset link not working!,negative,account
Great job handling account locked after failed attempts.,positive,account
This is unacceptable: need an export‑to‑csv feature.,negative,feature
Still waiting for a fix on requesting integration with slack.,negative,feature
I'm frustrated because i can't update my profile details!,negative,account
This is unacceptable: cannot connect to server.,negative,technical
Still waiting for a fix on app crashes on start‑up.,negative,technical
Appreciate the support on account locked after failed attempts.,positive,account
Thanks for the quick resolution of requesting integration with slack.,positive,feature
Still waiting for a fix on password‑reset link not working.,negative,account
Great job handling please update my billing address.,positive,billing
Appreciate the support on my invoice is incorrect.,positive,billing
Great job handling error 500 while uploading a file.,positive,technical
Great job handling my invoice is incorrect.,positive,billing
I'm frustrated because pages load very slowly!,negative,service
I'm frustrated because i can't update my profile details!,negative,account
This is unacceptable: pages load very slowly.,negative,service
This is unacceptable: my invoice is incorrect.,negative,billing
Thanks for the quick resolution of password‑reset link not working.,positive,account
Appreciate the support on requesting integration with slack.,positive,feature
Still waiting for a fix on error 500 while uploading a file.,negative,technical
Great job handling account locked after failed attempts.,positive,account
This is unacceptable: need an export‑to‑csv feature.,negative,feature
Great job handling my invoice is incorrect.,positive,billing
This is unacceptable: my invoice is incorrect.,negative,billing
Still waiting for a fix on my invoice is incorrect.,negative,billing
I'm frustrated because requesting integration with slack!,negative,feature
Still waiting for a fix on account locked after failed attempts.,negative,account
Still waiting for a fix on please update my billing address.,negative,billing
Thanks for the quick resolution of need an export‑to‑csv feature.,positive,feature
Appreciate the support on internet has been down since morning.,positive,service
Thanks for the quick resolution of cannot connect to server.,positive,technical
Appreciate the support on my invoice is incorrect.,positive,billing
Still waiting for a fix on requesting integration with slack.,negative,feature
Still waiting for a fix on account locked after failed attempts.,negative,account
I'm frustrated because need an export‑to‑csv feature!,negative,feature
Appreciate the support on please add a dark‑mode option.,positive,feature
I'm frustrated because account locked after failed attempts!,negative,account
Appreciate the support on error 500 while uploading a file.,positive,technical
Appreciate the support on please add a dark‑mode option.,positive,feature
I'm frustrated because account locked after failed attempts!,negative,account
Great job handling service unavailable in my area.,positive,service
Still waiting for a fix on error 500 while uploading a file.,negative,technical
Still waiting for a fix on need refund for over‑charge.,negative,billing
I'm frustrated because account locked after failed attempts!,negative,account
Great job handling i can't update my profile details.,positive,account
I'm frustrated because service unavailable in my area!,negative,service
Still waiting for a fix on i can't update my profile details.,negative,account
Appreciate the support on please add a dark‑mode option.,positive,feature
This is unacceptable: pages load very slowly.,negative,service
Appreciate the support on account locked after failed attempts.,positive,account
This is unacceptable: internet has been down since morning.,negative,service
This is unacceptable: cannot connect to server.,negative,technical
This is unacceptable: internet has been down since morning.,negative,service
Great job handling please add a dark‑mode option.,positive,feature
Thanks for the quick resolution of please add a dark‑mode option.,positive,feature
I'm frustrated because app crashes on start‑up!,negative,technical
Great job handling cannot connect to server.,positive,technical
Still waiting for a fix on need an export‑to‑csv feature.,negative,feature
I'm frustrated because internet has been down since morning!,negative,service
Appreciate the support on internet has been down since morning.,positive,service
Still waiting for a fix on app crashes on start‑up.,negative,technical
I'm frustrated because account locked after failed attempts!,negative,account
This is unacceptable: account locked after failed attempts.,negative,account
I'm frustrated because need an export‑to‑csv feature!,negative,feature
Still waiting for a fix on service unavailable in my area.,negative,service
Still waiting for a fix on need an export‑to‑csv feature.,negative,feature
Still waiting for a fix on error 500 while uploading a file.,negative,technical
This is unacceptable: cannot connect to server.,negative,technical
Great job handling service unavailable in my area.,positive,service
Appreciate the support on service unavailable in my area.,positive,service
Thanks for the quick resolution of cannot connect to server.,positive,technical
I'm frustrated because need an export‑to‑csv feature!,negative,feature
Great job handling internet has been down since morning.,positive,service
This is unacceptable: please update my billing address.,negative,billing
Still waiting for a fix on app crashes on start‑up.,negative,technical
Appreciate the support on account locked after failed attempts.,positive,account
Appreciate the support on need refund for over‑charge.,positive,billing
Great job handling pages load very slowly.,positive,service
Thanks for the quick resolution of please add a dark‑mode option.,positive,feature
Great job handling password‑reset link not working.,positive,account
Thanks for the quick resolution of please update my billing address.,positive,billing
Thanks for the quick resolution of internet has been down since morning.,positive,service
Great job handling need refund for over‑charge.,positive,billing
I'm frustrated because i can't update my profile details!,negative,account
Thanks for the quick resolution of requesting integration with slack.,positive,feature
Still waiting for a fix on app crashes on start‑up.,negative,technical
This is unacceptable: need an export‑to‑csv feature.,negative,feature
Still waiting for a fix on app crashes on start‑up.,negative,technical
Great job handling pages load very slowly.,positive,service
Thanks for the quick resolution of account locked after failed attempts.,positive,account
Great job handling pages load very slowly.,positive,service
Still waiting for a fix on service unavailable in my area.,negative,service
Thanks for the quick resolution of cannot connect to server.,positive,technical
Appreciate the support on cannot connect to server.,positive,technical
This is unacceptable: account locked after failed attempts.,negative,account
This is unacceptable: pages load very slowly.,negative,service
Great job handling please update my billing address.,positive,billing
Thanks for the quick resolution of error 500 while uploading a file.,positive,technical
This is unacceptable: error 500 while uploading a file.,negative,technical
This is unacceptable: error 500 while uploading a file.,negative,technical
Thanks for the quick resolution of need refund for over‑charge.,positive,billing
Thanks for the quick resolution of requesting integration with slack.,positive,feature
Thanks for the quick resolution of i can't update my profile details.,positive,account
Great job handling app crashes on start‑up.,positive,technical
Thanks for the quick resolution of need an export‑to‑csv feature.,positive,feature
Great job handling i can't update my profile details.,positive,account
I'm frustrated because password‑reset link not working!,negative,account
Appreciate the support on app crashes on start‑up.,positive,technical
Still waiting for a fix on service unavailable in my area.,negative,service
Great job handling need refund for over‑charge.,positive,billing
Great job handling account locked after failed attempts.,positive,account
Great job handling requesting integration with slack.,positive,feature
I'm frustrated because please update my billing address!,negative,billing
This is unacceptable: need an export‑to‑csv feature.,negative,feature
Still waiting for a fix on error 500 while uploading a file.,negative,technical
I'm frustrated because account locked after failed attempts!,negative,account
Still waiting for a fix on my invoice is incorrect.,negative,billing
This is unacceptable: my invoice is incorrect.,negative,billing
This is unacceptable: cannot connect to server.,negative,technical
Appreciate the support on requesting integration with slack.,positive,feature
Great job handling cannot connect to server.,positive,technical
Great job handling requesting integration with slack.,positive,feature
Still waiting for a fix on please update my billing address.,negative,billing
Thanks for the quick resolution of internet has been down since morning.,positive,service
Appreciate the support on account locked after failed attempts.,positive,account
I'm frustrated because password‑reset link not working!,negative,account
I'm frustrated because need refund for over‑charge!,negative,billing
Still waiting for a fix on please add a dark‑mode option.,negative,feature
Thanks for the quick resolution of app crashes on start‑up.,positive,technical
I'm frustrated because please update my billing address!,negative,billing
Appreciate the support on cannot connect to server.,positive,technical
Thanks for the quick resolution of need refund for over‑charge.,positive,billing
I'm frustrated because error 500 while uploading a file!,negative,technical
Thanks for the quick resolution of please update my billing address.,positive,billing
Thanks for the quick resolution of need refund for over‑charge.,positive,billing
Still waiting for a fix on requesting integration with slack.,negative,feature
Appreciate the support on my invoice is incorrect.,positive,billing
Still waiting for a fix on please update my billing address.,negative,billing
Great job handling account locked after failed attempts.,positive,account
Thanks for the quick resolution of please add a dark‑mode option.,positive,feature
I'm frustrated because requesting integration with slack!,negative,feature
Great job handling need refund for over‑charge.,positive,billing
Great job handling need refund for over‑charge.,positive,billing
I'm frustrated because my invoice is incorrect!,negative,billing
This is unacceptable: my invoice is incorrect.,negative,billing
Great job handling need an export‑to‑csv feature.,positive,feature
This is unacceptable: need an export‑to‑csv feature.,negative,feature
This is unacceptable: requesting integration with slack.,negative,feature
Appreciate the support on please update my billing address.,positive,billing
I'm frustrated because cannot connect to server!,negative,technical
Great job handling pages load very slowly.,positive,service
Still waiting for a fix on service unavailable in my area.,negative,service
I'm frustrated because account locked after failed attempts!,negative,account
I'm frustrated because internet has been down since morning!,negative,service
This is unacceptable: need refund for over‑charge.,negative,billing
Appreciate the support on password‑reset link not working.,positive,account
I'm frustrated because need an export‑to‑csv feature!,negative,feature
Great job handling pages load very slowly.,positive,service
Great job handling need refund for over‑charge.,positive,billing
Thanks for the quick resolution of please update my billing address.,positive,billing
Great job handling internet has been down since morning.,positive,service
Still waiting for a fix on requesting integration with slack.,negative,feature
Appreciate the support on please add a dark‑mode option.,positive,feature
Appreciate the support on need an export‑to‑csv feature.,positive,feature
Appreciate the support on please update my billing address.,positive,billing
This is unacceptable: password‑reset link not working.,negative,account
I'm frustrated because i can't update my profile details!,negative,account
Thanks for the quick resolution of error 500 while uploading a file.,positive,technical
Thanks for the quick resolution of error 500 while uploading a file.,positive,technical
Great job handling please update my billing address.,positive,billing
Still waiting for a fix on pages load very slowly.,negative,service
This is unacceptable: account locked after failed attempts.,negative,account
Thanks for the quick resolution of please add a dark‑mode option.,positive,feature
I'm frustrated because error 500 while uploading a file!,negative,technical
Great job handling i can't update my profile details.,positive,account
I'm frustrated because requesting integration with slack!,negative,feature
I'm frustrated because please add a dark‑mode option!,negative,feature
Great job handling account locked after failed attempts.,positive,account
I'm frustrated because need an export‑to‑csv feature!,negative,feature
I'm frustrated because service unavailable in my area!,negative,service
Great job handling password‑reset link not working.,positive,account
Still waiting for a fix on i can't update my profile details.,negative,account
This is unacceptable: internet has been down since morning.,negative,service
Appreciate the support on error 500 while uploading a file.,positive,technical
This is unacceptable: password‑reset link not working.,negative,account
I'm frustrated because need refund for over‑charge!,negative,billing
Still waiting for a fix on account locked after failed attempts.,negative,account
I'm frustrated because pages load very slowly!,negative,service
Appreciate the support on password‑reset link not working.,positive,account
Thanks for the quick resolution of service unavailable in my area.,positive,service
This is unacceptable: internet has been down since morning.,negative,service
Still waiting for a fix on service unavailable in my area.,negative,service
I'm frustrated because password‑reset link not working!,negative,account
Appreciate the support on please update my billing address.,positive,billing
Great job handling please add a dark‑mode option.,positive,feature
Appreciate the support on account locked after failed attempts.,positive,account
Still waiting for a fix on app crashes on start‑up.,negative,technical
Appreciate the support on app crashes on start‑up.,positive,technical
Appreciate the support on my invoice is incorrect.,positive,billing
Appreciate the support on pages load very slowly.,positive,service
Appreciate the support on service unavailable in my area.,positive,service
Appreciate the support on requesting integration with slack.,positive,feature
Still waiting for a fix on password‑reset link not working.,negative,account
Still waiting for a fix on service unavailable in my area.,negative,service
I'm frustrated because please add a dark‑mode option!,negative,feature
I'm frustrated because i can't update my profile details!,negative,account
I'm frustrated because i can't update my profile details!,negative,account
Great job handling need an export‑to‑csv feature.,positive,feature
Appreciate the support on need an export‑to‑csv feature.,positive,feature
Appreciate the support on need refund for over‑charge.,positive,billing
Appreciate the support on cannot connect to server.,positive,technical
Still waiting for a fix on app crashes on start‑up.,negative,technical
Thanks for the quick resolution of please update my billing address.,positive,billing
Still waiting for a fix on error 500 while uploading a file.,negative,technical
Great job handling need an export‑to‑csv feature.,positive,feature
Still waiting for a fix on i can't update my profile details.,negative,account
Appreciate the support on please add a dark‑mode option.,positive,feature
This is unacceptable: password‑reset link not working.,negative,account
This is unacceptable: pages load very slowly.,negative,service
This is unacceptable: please add a dark‑mode option.,negative,feature
This is unacceptable: cannot connect to server.,negative,technical
Thanks for the quick resolution of internet has been down since morning.,positive,service
Still waiting for a fix on account locked after failed attempts.,negative,account
Appreciate the support on error 500 while uploading a file.,positive,technical
Great job handling please add a dark‑mode option.,positive,feature
Still waiting for a fix on requesting integration with slack.,negative,feature
Still waiting for a fix on app crashes on start‑up.,negative,technical
Thanks for the quick resolution of app crashes on start‑up.,positive,technical
Thanks for the quick resolution of need refund for over‑charge.,positive,billing
Appreciate the support on need an export‑to‑csv feature.,positive,feature
This is unacceptable: please update my billing address.,negative,billing
I'm frustrated because error 500 while uploading a file!,negative,technical
Thanks for the quick resolution of error 500 while uploading a file.,positive,technical
This is unacceptable: internet has been down since morning.,negative,service
Appreciate the support on cannot connect to server.,positive,technical
Great job handling internet has been down since morning.,positive,service
This is unacceptable: internet has been down since morning.,negative,service
Great job handling pages load very slowly.,positive,service
I'm frustrated because need an export‑to‑csv feature!,negative,feature
Still waiting for a fix on error 500 while uploading a file.,negative,technical
Still waiting for a fix on please update my billing address.,negative,billing
Appreciate the support on please add a dark‑mode option.,positive,feature
I'm frustrated because need refund for over‑charge!,negative,billing
Thanks for the quick resolution of i can't update my profile details.,positive,account
Thanks for the quick resolution of internet has been down since morning.,positive,service
Great job handling pages load very slowly.,positive,service
Thanks for the quick resolution of need refund for over‑charge.,positive,billing
I'm frustrated because internet has been down since morning!,negative,service
Appreciate the support on password‑reset link not working.,positive,account
Still waiting for a fix on password‑reset link not working.,negative,account
Appreciate the support on service unavailable in my area.,positive,service
Thanks for the quick resolution of pages load very slowly.,positive,service
I'm frustrated because need refund for over‑charge!,negative,billing
Great job handling need an export‑to‑csv feature.,positive,feature
I'm frustrated because need refund for over‑charge!,negative,billing
This is unacceptable: my invoice is incorrect.,negative,billing
Still waiting for a fix on internet has been down since morning.,negative,service
This is unacceptable: need an export‑to‑csv feature.,negative,feature
Great job handling please add a dark‑mode option.,positive,feature
Thanks for the quick resolution of internet has been down since morning.,positive,service
This is unacceptable: requesting integration with slack.,negative,feature
Thanks for the quick resolution of please update my billing address.,positive,billing
Appreciate the support on need an export‑to‑csv feature.,positive,feature
Still waiting for a fix on please add a dark‑mode option.,negative,feature
Still waiting for a fix on please update my billing address.,negative,billing
I'm frustrated because account locked after failed attempts!,negative,account
Appreciate the support on password‑reset link not working.,positive,account
Great job handling please update my billing address.,positive,billing
Still waiting for a fix on app crashes on start‑up.,negative,technical
This is unacceptable: error 500 while uploading a file.,negative,technical
I'm frustrated because service unavailable in my area!,negative,service
Great job handling please update my billing address.,positive,billing
I'm frustrated because need refund for over‑charge!,negative,billing
Appreciate the support on need refund for over‑charge.,positive,billing
I'm frustrated because service unavailable in my area!,negative,service
I'm frustrated because cannot connect to server!,negative,technical
Still waiting for a fix on i can't update my profile details.,negative,account
Great job handling pages load very slowly.,positive,service
Still waiting for a fix on password‑reset link not working.,negative,account
I'm frustrated because account locked after failed attempts!,negative,account
I'm frustrated because internet has been down since morning!,negative,service
I'm frustrated because requesting integration with slack!,negative,feature
Still waiting for a fix on account locked after failed attempts.,negative,account
This is unacceptable: need an export‑to‑csv feature.,negative,feature
This is unacceptable: pages load very slowly.,negative,service
Great job handling account locked after failed attempts.,positive,account
Great job handling my invoice is incorrect.,positive,billing
Appreciate the support on account locked after failed attempts.,positive,account
This is unacceptable: app crashes on start‑up.,negative,technical
I'm frustrated because internet has been down since morning!,negative,service
This is unacceptable: i can't update my profile details.,negative,account
Still waiting for a fix on please update my billing address.,negative,billing
I'm frustrated because i can't update my profile details!,negative,account
Great job handling please add a dark‑mode option.,positive,feature
I'm frustrated because account locked after failed attempts!,negative,account
This is unacceptable: please update my billing address.,negative,billing
Still waiting for a fix on service unavailable in my area.,negative,service
Great job handling internet has been down since morning.,positive,service
I'm frustrated because internet has been down since morning!,negative,service
Great job handling internet has been down since morning.,positive,service
Great job handling please update my billing address.,positive,billing
This is unacceptable: account locked after failed attempts.,negative,account
Appreciate the support on i can't update my profile details.,positive,account
Thanks for the quick resolution of cannot connect to server.,positive,technical
Still waiting for a fix on app crashes on start‑up.,negative,technical
Great job handling need refund for over‑charge.,positive,billing
I'm frustrated because service unavailable in my area!,negative,service
This is unacceptable: need refund for over‑charge.,negative,billing
Still waiting for a fix on service unavailable in my area.,negative,service
Still waiting for a fix on please add a dark‑mode option.,negative,feature
This is unacceptable: need refund for over‑charge.,negative,billing
Appreciate the support on password‑reset link not working.,positive,account
Thanks for the quick resolution of please add a dark‑mode option.,positive,feature
Thanks for the quick resolution of service unavailable in my area.,positive,service
I'm frustrated because please update my billing address!,negative,billing
Thanks for the quick resolution of cannot connect to server.,positive,technical
Thanks for the quick resolution of account locked after failed attempts.,positive,account
Appreciate the support on password‑reset link not working.,positive,account
Appreciate the support on password‑reset link not working.,positive,account
Thanks for the quick resolution of please add a dark‑mode option.,positive,feature
This is unacceptable: need an export‑to‑csv feature.,negative,feature
Great job handling need an export‑to‑csv feature.,positive,feature
Thanks for the quick resolution of please add a dark‑mode option.,positive,feature
Appreciate the support on my invoice is incorrect.,positive,billing
This is unacceptable: account locked after failed attempts.,negative,account
Great job handling service unavailable in my area.,positive,service
Great job handling requesting integration with slack.,positive,feature
Appreciate the support on internet has been down since morning.,positive,service
This is unacceptable: pages load very slowly.,negative,service
Still waiting for a fix on my invoice is incorrect.,negative,billing
I'm frustrated because internet has been down since morning!,negative,service
Still waiting for a fix on account locked after failed attempts.,negative,account
Appreciate the support on internet has been down since morning.,positive,service
Still waiting for a fix on please add a dark‑mode option.,negative,feature
I'm frustrated because need refund for over‑charge!,negative,billing
Still waiting for a fix on my invoice is incorrect.,negative,billing
I'm frustrated because requesting integration with slack!,negative,feature
Thanks for the quick resolution of account locked after failed attempts.,positive,account
Great job handling cannot connect to server.,positive,technical
I'm frustrated because pages load very slowly!,negative,service
I'm frustrated because service unavailable in my area!,negative,service
I'm frustrated because error 500 while uploading a file!,negative,technical
Appreciate the support on i can't update my profile details.,positive,account
Thanks for the quick resolution of pages load very slowly.,positive,service
Appreciate the support on internet has been down since morning.,positive,service
Still waiting for a fix on i can't update my profile details.,negative,account
Great job handling please update my billing address.,positive,billing
This is unacceptable: requesting integration with slack.,negative,feature
This is unacceptable: service unavailable in my area.,negative,service
I'm frustrated because please add a dark‑mode option!,negative,feature
Great job handling pages load very slowly.,positive,service
Thanks for the quick resolution of requesting integration with slack.,positive,feature
I'm frustrated because need an export‑to‑csv feature!,negative,feature
Still waiting for a fix on my invoice is incorrect.,negative,billing
This is unacceptable: service unavailable in my area.,negative,service
This is unacceptable: please add a dark‑mode option.,negative,feature
This is unacceptable: password‑reset link not working.,negative,account
This is unacceptable: account locked after failed attempts.,negative,account
Great job handling requesting integration with slack.,positive,feature
This is unacceptable: internet has been down since morning.,negative,service
Appreciate the support on need refund for over‑charge.,positive,billing
This is unacceptable: please update my billing address.,negative,billing
I'm frustrated because need an export‑to‑csv feature!,negative,feature
This is unacceptable: requesting integration with slack.,negative,feature
This is unacceptable: requesting integration with slack.,negative,feature
Appreciate the support on app crashes on start‑up.,positive,technical
Still waiting for a fix on my invoice is incorrect.,negative,billing
I'm frustrated because internet has been down since morning!,negative,service
Great job handling service unavailable in my area.,positive,service
I'm frustrated because please update my billing address!,negative,billing
Great job handling requesting integration with slack.,positive,feature
I'm frustrated because requesting integration with slack!,negative,feature
Still waiting for a fix on service unavailable in my area.,negative,service
I'm frustrated because account locked after failed attempts!,negative,account
Still waiting for a fix on account locked after failed attempts.,negative,account
This is unacceptable: account locked after failed attempts.,negative,account
This is unacceptable: pages load very slowly.,negative,service
